Наименование;Цена;До;Тип тендера;От;Регион;Отрасль
Право заключить договор на поставку лекарственных средств хлоргексидин для нужд МБУЗ ГБСМП;768000;12.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Право заключить договор на поставку лекарственных средств иммуноглобулин антирабический для нужд МБУЗ ГБСМП;187755;10.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка медицинского оборудования анализаторы для КДЛ;469835;11.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
Поставка медицинского оборудования аппарат ультразвуковой терапии;248800;11.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
Поставка медицинского оборудования концентратор кислорода;85513;11.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка медицинского оборудования электрокардиограф;222033;11.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Медицинское оборудование обслуживание исследования;;
Право заключить договор на поставку лекарственных средств нитрофурал для нужд МБУЗ ГБСМП;1451520;10.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
поставка лекарственных препаратов для медицинского применения;238000;10.03.2021;Электронный аукцион;02.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
поставка расходных материалов;409902;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка расходных материалов в году;318671;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
поставка расходных материалов;983644;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Право заключить договор на поставку изделий медицинского назначения устройство для дренирования ран для нужд МБУЗ ГБСМП;79200;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Право заключить договор на поставку наборов иммунохроматографических для нужд МБУЗ ГБСМП;80000;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка лекарственных средств Лот;538184;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка лекарственных препаратов МНН Ланреотид;2937696;12.03.2021;Электронный аукцион;04.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка лекарственных препаратов для медицинского применения;4;12.03.2021;Электронный аукцион;04.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка лекарственных препаратов МНН Кризотиниб;822883;12.03.2021;Электронный аукцион;04.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка лекарственных препаратов для медицинского применения;4;12.03.2021;Электронный аукцион;04.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка лекарственных средств Этанол;88450;15.03.2021;Электронный аукцион;04.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Заключение договора на право поставки реактивов для автоматического анализатора для нужд МБУЗ КДЦ в году;24894469;12.03.2021;Электронный аукцион;04.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка хлоргексидина;158773;15.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Право заключить договор на поставку изделий медицинского назначения для нужд МБУЗ ГБСМП;4282372;15.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Поставка шовного материала;478576;15.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Право заключить договор на поставку вакцины для профилактики бешенства для нужд МБУЗ ГБСМП;651585;15.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;Медицина фармакология Лекарственные препараты витамины расходные материалы;;
Оказание услуг по поверке калибровке аттестации средств измерений общего и медицинского назначения;138524;16.03.2021;Электронный аукцион;05.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Оказание образовательных услуг по дополнительному профессиональному образованию безработных граждан по программе повышения квалификации Современные компьютерные технологии;73000;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Оказание образовательных услуг по опережающему обучению работников ПАО ТАНТК им Г М Бериева находящихся под риском увольнения по дополнительному профессиональному образованию по программе повышения квалификации среднего медицинского персонала;32067;11.03.2021;Электронный аукцион;03.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Оказание образовательных услуг по дополнительному профессиональному образованию безработных граждан по программе повышения квалификации Управление персоналом;97600;10.03.2021;Электронный аукцион;02.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Оказание образовательных услуг по профессиональному обучению безработных граждан по программе профессиональной подготовки Кассир торгового зала;89333;10.03.2021;Электронный аукцион;02.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Оказание образовательных услуг по профессиональному обучению безработных граждан по программе профессиональной подготовки Слесарь по ремонту автомобилей разряда;141333;10.03.2021;Электронный аукцион;02.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Оказание образовательных услуг по профессиональному обучению безработных граждан по программе профессиональной подготовки Охранник разряда;68167;09.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Оказание образовательных услуг по дополнительному профессиональному образованию безработных граждан по программе повышения квалификации С Предприятие;130000;09.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Услуги по обучению сотрудников ФЗ;41800;12.03.2021;Электронный аукцион;01.03.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Поставка медицинского оборудования анализатор для лаборатории;552803;10.03.2021;Электронный аукцион;26.02.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Лабораторное оборудование и материалы;;
Оказание образовательных услуг по дополнительному профессиональному образованию безработных граждан по программе повышения квалификации Компьютерная графика;44833;09.03.2021;Электронный аукцион;26.02.2021;Ростовская область Южный ФО Таганрог;Наука исследования образование Услуги;;
Электронный аукцион от на право заключения договора аренды недвижимого имущества находящегося в собственности муниципального образования Город Таганрог;2975;16.03.2021;Электронный аукцион;16.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Недвижимость;;
